file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\cloudstack\engine\schema\src\test\java\com\cloud\network\dao\LoadBalancerVMMapDaoImplTest.java,com.cloud.network.dao.LoadBalancerVMMapDaoImplTest,class,10,10,0,10,3,1,0,20,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2,26,1,0,1,0,0,1,12,7,0,9,1,0,0,1,33,1,0
E:\Sowmya_git_projects\cloudstack\plugins\database\quota\src\main\java\org\apache\cloudstack\api\command\QuotaEmailTemplateListCmd.java,org.apache.cloudstack.api.command.QuotaEmailTemplateListCmd,class,7,9,2,7,3,2,0,5,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,16,1,0,0,0,0,5,0,2,0,3,0,0,0,0,27,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\dc\dao\PodVlanMapDao.java,com.cloud.dc.dao.PodVlanMapDao,interface,2,4,2,2,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
E:\Sowmya_git_projects\cloudstack\plugins\storage\volume\sample\src\main\java\org\apache\cloudstack\storage\datastore\lifecycle\SamplePrimaryDataStoreLifeCycleImpl.java,org.apache.cloudstack.storage.datastore.lifecycle.SamplePrimaryDataStoreLifeCycleImpl,class,20,22,2,20,17,1,0,20,105,0.9333333,0,0,15,0,14,0,1,0,15,0,0,0,5,0,0,0,0,5,0,0,0,69,8,1,1,0,0,0,2,8,0,12,1,0,0,0,63,1,0
E:\Sowmya_git_projects\cloudstack\engine\schema\src\main\java\com\cloud\network\as\dao\ConditionDao.java,com.cloud.network.as.dao.ConditionDao,interface,2,3,1,2,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
E:\Sowmya_git_projects\cloudstack\engine\storage\src\main\java\org\apache\cloudstack\storage\allocator\AbstractStoragePoolAllocator.java,org.apache.cloudstack.storage.allocator.AbstractStoragePoolAllocator,class,31,39,8,31,94,2,6,79,118,0.920168,0.054945055,0.06593407,17,0,5,3,7,2,14,1,0,0,14,0,0,6,8,0,0,0,20,276,33,5,30,1,9,46,7,45,1,45,3,0,0,0,198,1025,25
E:\Sowmya_git_projects\cloudstack\engine\storage\volume\src\main\java\org\apache\cloudstack\storage\datastore\type\DataStoreType.java,org.apache.cloudstack.storage.datastore.type.DataStoreType,interface,0,3,3,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
E:\Sowmya_git_projects\cloudstack\plugins\hypervisors\ovm\src\main\java\com\cloud\ovm\object\OvmDisk.java,com.cloud.ovm.object.OvmDisk,class,1,1,0,1,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,11,0,0,0,0,0,4,0,4,0,4,0,0,1,0,12,1,0
E:\Sowmya_git_projects\cloudstack\api\src\main\java\com\cloud\network\vpc\NetworkACLItem.java,com.cloud.network.vpc.NetworkACLItem$State,enum,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
E:\Sowmya_git_projects\cloudstack\api\src\test\java\org\apache\cloudstack\api\command\test\AddClusterCmdTest.java,org.apache.cloudstack.api.command.test.AddClusterCmdTest,class,10,10,0,10,9,2,0,12,0,0.5,1,1,4,0,4,0,0,0,4,0,0,0,4,0,1,3,0,0,0,0,1,53,0,0,0,3,0,2,0,12,0,8,1,1,0,0,36,1,0
