file,class,method,variable,usage
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitReturn/2[com.sun.source.tree.ReturnTree,java.lang.Void]",atLeastOneReturn,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitReturn/2[com.sun.source.tree.ReturnTree,java.lang.Void]",state,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitReturn/2[com.sun.source.tree.ReturnTree,java.lang.Void]",allReturnsIgnorable,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"isIgnorableMethodCallOnSameInstance/2[com.sun.source.tree.ReturnTree,com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState]",methodReturnType,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"isIgnorableMethodCallOnSameInstance/2[com.sun.source.tree.ReturnTree,com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState]",state,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"isIgnorableMethodCallOnSameInstance/2[com.sun.source.tree.ReturnTree,com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState]",enclosingClassType,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"ReturnValuesFromMethodAreIgnorable/2[com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState,com.google.errorprone.bugpatterns.checkreturnvalue.MethodSymbol]",methodReturnType,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"ReturnValuesFromMethodAreIgnorable/2[com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState,com.google.errorprone.bugpatterns.checkreturnvalue.MethodSymbol]",state,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"ReturnValuesFromMethodAreIgnorable/2[com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState,com.google.errorprone.bugpatterns.checkreturnvalue.MethodSymbol]",enclosingClassType,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,negative/0,compilationHelper,1
