file,class,method,variable,usage
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/sample/src/main/java/com/facebook/samples/litho/java/animations/docs/AlphaTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AlphaTransitionComponentSpec,"onCreateLayout/2[com.facebook.samples.litho.java.animations.docs.ComponentContext,boolean]",SQUARE_KEY,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/sample/src/main/java/com/facebook/samples/litho/java/animations/docs/AlphaTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AlphaTransitionComponentSpec,onCreateTransition/1[com.facebook.samples.litho.java.animations.docs.ComponentContext],SQUARE_KEY,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,setup/0,mSpecModel,4
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mRepresentedObject2,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mRepresentedObject1,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mSpecModel,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mRepresentedObject2,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mRepresentedObject1,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mSpecModel,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject2,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject1,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject4,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject3,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mSpecModel,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject2,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject1,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject3,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-it/src/test/java/com/facebook/litho/specmodels/model/TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mSpecModel,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-widget/src/main/java/com/facebook/litho/widget/VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,scrollTo/1[int],mScrollView,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-widget/src/main/java/com/facebook/litho/widget/VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,setScrollView/1[com.facebook.litho.widget.LithoScrollView],mScrollView,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-widget/src/main/java/com/facebook/litho/widget/VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,scrollToTop/0,mScrollView,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-widget/src/main/java/com/facebook/litho/widget/VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,smoothScrollTo/1[int],mScrollView,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-widget/src/main/java/com/facebook/litho/widget/VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,scrollToBottom/0,mScrollView,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-intellij-plugin/testdata/processor/PsiMountSpecModelFactoryTest.java,TestTreeProp,hashCode/0,mValue,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-intellij-plugin/testdata/processor/PsiMountSpecModelFactoryTest.java,TestTreeProp,getValue/0,mValue,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-intellij-plugin/testdata/processor/PsiMountSpecModelFactoryTest.java,TestTreeProp,equals/1[java.lang.Object],mValue,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-intellij-plugin/testdata/processor/PsiMountSpecModelFactoryTest.java,TestTreeProp,TestTreeProp/1[long],mValue,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-processor/src/main/java/com/facebook/litho/specmodels/generator/ComponentBodyGenerator.java,com.facebook.litho.specmodels.generator.ComponentBodyGenerator,"getImplAccessorFromContainer/6[java.lang.String,com.facebook.litho.specmodels.model.SpecModel,com.facebook.litho.specmodels.generator.MethodParamModel,java.lang.String,boolean,java.lang.String]",LOCAL_INTER_STAGE_PROPS_CONTAINER_NAME,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/litho/litho-processor/src/main/java/com/facebook/litho/specmodels/generator/ComponentBodyGenerator.java,com.facebook.litho.specmodels.generator.ComponentBodyGenerator,"getImplAccessor/4[com.facebook.litho.specmodels.model.SpecModel,com.facebook.litho.specmodels.generator.DelegateMethodDescription,com.facebook.litho.specmodels.generator.MethodParamModel,java.lang.String]",LOCAL_INTER_STAGE_PROPS_CONTAINER_NAME,1
