file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\internal\CodecCache.java,org.bson.internal.CodecCache,class,4,5,1,4,3,1,0,4,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,2,36,2,0,1,0,0,2,0,3,0,3,0,0,1,0,13,16,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\main\org\bson\codecs\ContainerCodecHelper.java,org.bson.codecs.ContainerCodecHelper,class,10,16,6,10,14,1,0,13,3,0,0,0,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,43,4,0,7,0,0,1,3,5,1,3,4,0,0,0,34,16,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\session\ClientSessionContext.java,com.mongodb.internal.session.ClientSessionContext,class,8,8,0,8,19,1,0,18,0,0.055555556,0.8888889,0.8888889,18,0,18,0,0,0,18,0,0,0,1,0,0,1,0,0,1,0,0,58,11,0,1,0,0,1,0,2,0,2,0,0,0,0,52,1025,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\test\unit\org\bson\codecs\pojo\entities\conventions\CollectionNameModel.java,org.bson.codecs.pojo.entities.conventions.CollectionNameModel,class,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\UnixSocketChannelStream.java,com.mongodb.internal.connection.UnixSocketChannelStream,class,8,9,1,8,2,2,0,4,0,0,1,1,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,39,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-core\src\main\com\mongodb\internal\connection\FutureAsyncCompletionHandler.java,com.mongodb.internal.connection.FutureAsyncCompletionHandler,class,6,7,1,6,10,1,0,4,9,0.61111116,0.1,0.1,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,1,0,0,42,2,0,1,1,0,5,1,3,2,3,2,0,0,0,32,0,0
E:\Sowmya_git_projects\mongo-java-driver\driver-reactive-streams\src\test\functional\com\mongodb\reactivestreams\client\unified\ServerSelectionLoggingTest.java,com.mongodb.reactivestreams.client.unified.ServerSelectionLoggingTest,class,2,2,0,2,1,3,0,1,0,0,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,16,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\test\unit\org\bson\codecs\BsonDocumentSubclass.java,org.bson.codecs.BsonDocumentSubclass,class,1,1,0,1,0,3,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,1,0
E:\Sowmya_git_projects\mongo-java-driver\bson\src\test\unit\org\bson\codecs\JsonObjectCodecProviderTest.java,org.bson.codecs.JsonObjectCodecProviderTest,class,7,7,0,7,1,1,0,6,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,14,1,0
E:\Sowmya_git_projects\mongo-java-driver\driver-sync\src\test\functional\com\mongodb\client\ContextProviderTest.java,com.mongodb.client.ContextProviderTest$TestCommandListener,innerclass,6,6,0,6,8,1,0,1,0,0.5,1,1,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,1,0,0,29,0,0,3,0,0,0,3,4,0,4,1,0,0,0,17,26,0
