file,class,method,variable,usage
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],EXIT_MESSAGE_1,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],EXIT_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],ENTRY_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,catching/1[java.lang.Throwable],FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,catching/1[java.lang.Throwable],CATCHING_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"throwing/2[org.slf4j.ext.XLogger.Level,T]",FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"throwing/2[org.slf4j.ext.XLogger.Level,T]",THROWING_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/0,EXIT_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/0,FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/0,ENTRY_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/0,EXIT_MESSAGE_0,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,throwing/1[T],FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,throwing/1[T],THROWING_MARKER,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"catching/2[org.slf4j.ext.XLogger.Level,java.lang.Throwable]",FQCN,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"catching/2[org.slf4j.ext.XLogger.Level,java.lang.Throwable]",CATCHING_MARKER,1
