file,class,method,variable,usage
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,XLogger/1[org.slf4j.Logger],logger,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],result,3
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,exit/1[T],tp,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,catching/1[java.lang.Throwable],throwable,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"throwing/2[org.slf4j.ext.XLogger.Level,T]",level,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"throwing/2[org.slf4j.ext.XLogger.Level,T]",throwable,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,throwing/1[T],throwable,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,buildMessagePattern/1[int],len,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,buildMessagePattern/1[int],i,3
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,buildMessagePattern/1[int],sb,5
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"catching/2[org.slf4j.ext.XLogger.Level,java.lang.Throwable]",level,2
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,"catching/2[org.slf4j.ext.XLogger.Level,java.lang.Throwable]",throwable,1
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,entry/1[java.lang.Object[]],argArray,5
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,entry/1[java.lang.Object[]],messagePattern,3
E:\Sowmya_git_projects\slf4j\slf4j-ext\src\main\java\org\slf4j\ext\XLogger.java,org.slf4j.ext.XLogger,entry/1[java.lang.Object[]],tp,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/2[java.lang.String,java.lang.Object[]]",arguments,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/2[java.lang.String,java.lang.Object[]]",message,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",msg,4
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",trimmedArguments,1
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",t,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",arguments,7
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"normalize/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",throwableCandidate,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,trimmedCopy/1[java.lang.Object[]],argArray,4
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,trimmedCopy/1[java.lang.Object[]],trimmedLen,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,trimmedCopy/1[java.lang.Object[]],trimmed,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,getThrowableCandidate/1[java.lang.Object[]],lastEntry,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,getThrowableCandidate/1[java.lang.Object[]],argArray,4
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,normalize/1[org.slf4j.event.LoggingEvent],event,3
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",throwable,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",arguments,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\main\java\org\slf4j\helpers\NormalizedParameters.java,org.slf4j.helpers.NormalizedParameters,"NormalizedParameters/3[java.lang.String,java.lang.Object[],java.lang.Throwable]",message,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\basicTests\NoBindingTest.java,org.slf4j.basicTests.NoBindingTest,testLogger/0,logger,2
E:\Sowmya_git_projects\slf4j\slf4j-api\src\test\java\org\slf4j\basicTests\NoBindingTest.java,org.slf4j.basicTests.NoBindingTest,testMarker/0,m,1
