file,class,method,variable,usage
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,setUp/0,product,2
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,setUp/0,categories,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,setUp/0,category,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,setUp/0,products,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\provider\PersistenceProviderIntegrationTests.java,org.springframework.data.jpa.provider.PersistenceProviderIntegrationTests,testname/0,transactionManager,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andCombinesSpecificationsInOrder/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andCombinesSpecificationsInOrder/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andCombinesSpecificationsInOrder/0,builder,2
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,anyOfConcatenatesNull/0,spec,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,createsSpecificationsFromNull/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,createsSpecificationsFromNull/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,createsSpecificationsFromNull/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesNullSpecToSpec/0,spec,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAllOfReturnsEmptySpecification/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAllOfReturnsEmptySpecification/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAllOfReturnsEmptySpecification/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,setUp/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,setUp/0,spec,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAnyOfReturnsEmptySpecification/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAnyOfReturnsEmptySpecification/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,emptyAnyOfReturnsEmptySpecification/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,allOfConcatenatesNull/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,allOfConcatenatesNull/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,allOfConcatenatesNull/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,allOfConcatenatesNull/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,allOfConcatenatesNull/0,spec,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orCombinesSpecificationsInOrder/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orCombinesSpecificationsInOrder/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orCombinesSpecificationsInOrder/0,builder,2
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orConcatenatesNullSpecToSpec/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orConcatenatesNullSpecToSpec/0,root,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orConcatenatesNullSpecToSpec/0,query,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orConcatenatesNullSpecToSpec/0,builder,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,orConcatenatesNullSpecToSpec/0,spec,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesSpecToNullSpec/0,predicate,1
C:\spring-data-jpa-main\spring-data-jpa\src\test\java\org\springframework\data\jpa\domain\SpecificationUnitTests.java,org.springframework.data.jpa.domain.SpecificationUnitTests,andConcatenatesSpecToNullSpec/0,root,1
