file,class,method,variable,usage
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,onCancelButtonClicked/1[com.lody.virtual.client.stub.View],view,0
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,onSaveInstanceState/1[com.lody.virtual.client.stub.Bundle],outState,7
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,overrideDescriptionIfSupplied/1[java.lang.String],descriptionView,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,overrideDescriptionIfSupplied/1[java.lang.String],descriptionOverride,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,runAddAccountForAuthenticator/1[java.lang.String],requiredFeatures,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,runAddAccountForAuthenticator/1[java.lang.String],authTokenType,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,runAddAccountForAuthenticator/1[java.lang.String],options,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,runAddAccountForAuthenticator/1[java.lang.String],type,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],descs,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],allowedAccountTypes,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],setOfRelevantAccountTypes,5
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],supportedAccountTypes,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],intent,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],desc,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getAcceptableAccountChoices/1[com.lody.virtual.client.ipc.VAccountManager],accountManager,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getAcceptableAccountChoices/1[com.lody.virtual.client.ipc.VAccountManager],accountsToPopulate,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getAcceptableAccountChoices/1[com.lody.virtual.client.ipc.VAccountManager],accounts,2
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getAcceptableAccountChoices/1[com.lody.virtual.client.ipc.VAccountManager],account,3
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,setNonLabelThemeAndCallSuperCreate/1[com.lody.virtual.client.stub.Bundle],savedInstanceState,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,startChooseAccountTypeActivity/0,intent,6
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,populateUIAccountList/1[java.lang.String[]],listItems,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,populateUIAccountList/1[java.lang.String[]],list,6
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,"onActivityResult/3[int,int,com.lody.virtual.client.stub.Intent]",currentAccounts,1
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,"onActivityResult/3[int,int,com.lody.virtual.client.stub.Intent]",data,10
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,"onActivityResult/3[int,int,com.lody.virtual.client.stub.Intent]",accountName,5
/Users/prithukathet/Desktop/Assignment_METRICS_CODE/VirtualXposed/VirtualApp/lib/src/main/java/com/lody/virtual/client/stub/ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,"onActivityResult/3[int,int,com.lody.virtual.client.stub.Intent]",accountType,8
